model_name,quant_type,context_len,tok_s,ttft_sec,peak_vram_gb,json_valid_rate,action_f1,assignee_acc,due_date_acc,priority_acc,rouge_l,llm_judge
Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,16384,21.677,6.337,7.693,1.0,0.612,0.909,1.0,1.0,,
Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,32768,7.962,18.447,7.462,1.0,0.619,0.957,1.0,1.0,,
Qwen_Qwen3-8B-Q4_K_M.gguf,GGUF_Q4_K_M,8192,28.64,2.519,6.617,1.0,0.615,0.75,1.0,1.0,,
google_gemma-4-E4B-it-Q4_K_M.gguf,GGUF_Q4_K_M,16384,38.492,2.36,5.107,1.0,0.365,1.0,1.0,1.0,,
google_gemma-4-E4B-it-Q4_K_M.gguf,GGUF_Q4_K_M,32768,35.825,4.181,6.491,1.0,0.343,1.0,1.0,1.0,,
google_gemma-4-E4B-it-Q4_K_M.gguf,GGUF_Q4_K_M,8192,41.015,1.307,4.502,1.0,0.25,1.0,1.0,1.0,,
